| 629 | 0.2 | -1 |
| 2331 | 0.0 | 0 |
| 2826 | 0.0 | 0 |
| 3336 | 0.0 | 0 |
| 3830 | 0.8 | 4 |
| 4325 | 1.6 | 8 |
| 4837 | 2.2 | 11 |
| 5331 | 2.6 | 13 |
| 5825 | 3.0 | 15 |
| 6336 | 3.4 | 17 |
| 6830 | 4.2 | 21 |
| 7341 | 4.6 | 23 |
| 7835 | 4.6 | 23 |
| 8330 | 4.6 | 23 |
| 8841 | 3.8 | 23 |
| 9335 | 3.0 | 23 |
| 9830 | 2.6 | 24 |
| 10342 | 2.4 | 25 |
| 10837 | 3.0 | 30 |
| 11331 | 3.6 | 35 |
| 11842 | 3.0 | 36 |
| 12337 | 2.6 | 36 |
| 12848 | 2.8 | 37 |
| 13343 | 3.2 | 39 |
| 13838 | 3.2 | 39 |
| 14349 | 3.2 | 39 |
| 14843 | 3.0 | 39 |
| 15339 | 2.8 | 39 |
| 15850 | 1.8 | 39 |
| 16345 | 0.8 | 39 |
| 16856 | 1.0 | 41 |
| 17351 | 1.8 | 45 |
| 17846 | 2.2 | 48 |
| 18357 | 1.8 | 48 |
